ID,SMILES,Tg,Melting,decomposition T,density (g/cc),cohesive energy density (Cal/cc),FFV,Tensile,Young,P_N2 (barrer),P_O2 (barrer),alpha_O/N
29,CCCCC1CC2CC1C([*])C2[*],447,512,601,0.9,64.3,0.26,84.2,3299.86,65.2,102.4,1.570552147
30,CCCCCCC1CC2CC1C([*])C2[*],470,484,597,1,63,0.3,88.7,3311.2,10.8,21.2,1.962962963
31,CCCCCCCCCCC1CC2CC1C([*])C2[*],438,412,609,0.9,55.7,0.32,89.5,3288.79,9.9,19.8,2
32,CCCCOC(=O)C([*])C[*],224,358,602,1.1,79.4,0.2,40.9,559.07,4.9,16.4,3.346938776
33,CCOC(=O)C([*])C[*],248,375,609,1.1,81.7,0.15,59.5,1085.02,4.7,17.8,3.787234043
34,COC(=O)C(C)([*])C[*],363,456,580,1.2,88.4,0.18,40,1599.42,0.016,0.098,6.125
35,COC(=O)C([*])C[*],290,383,635,1.2,100.5,0.26,76.7,1991.1,0.23,1,4.347826087
36,C[Si](C)(C)C1CC2CC1C([*])C2[*],521,586,668,1,66.7,0.33,85,3590,1157.9,1442.7,1.245962518
37,ClC(Cl)([*])C[*],265,484,473,1.8,108.7,0.18,79.3,688.36,0.00099,0.0053,5.353535354
38,ClC([*])=CCC[*],255,439,634,1.2,77.5,0.21,65.5,1790.48,1.4,3.8,2.714285714
39,ClC([*])C[*],320,431,553,1.4,93.8,0.31,32.4,1261.3,0.0048,0.033,6.875
40,FC(F)(F)COP([*])(=N[*])OCC(F)(F)F,205,344,676,1.7,96.7,0.36,79.7,3044.91,55.9,116,2.075134168
41,FC(F)([*])C(F)(Cl)CC[*],250,514,692,1.6,93.6,0.21,46.1,1672.27,0.058,0.19,3.275862069
42,FC(F)([*])C[*],248,541,651,1.8,134.9,0.23,38.8,735.99,0.023,0.083,3.608695652
43,O=C(C1=CC=C([*])C=C1)C1=CC=C(OC2=CC=C(O[*])C=C2)C=C1,421,585,819,1.3,107.7,0.15,90.4,3678.16,0.046,0.25,5.434782609
44,O=C(CCCCC[*])O[*],230,324,582,1.1,88.1,0.17,26.5,2401.14,0.53,1.5,2.830188679
45,O=C(NC1=CC=C(N[*])C=C1)NC1=CC=C(NOCC2=CC=C3C(=O)N(C4=CC=C(CC5=CC=C(N6C(=O)C7=CC=C(CO[*])C=C7C6=O)C=C5)C=C4)C(=O)C3=C2)C=C1,516,666,728,1.3,140.9,0.13,93.8,2759.58,0.012,0.076,6.333333333
46,O=C(NCCCCCCNC(=O)OCCOCC[*])O[*],286,418,798,1.2,103.3,0.24,93.7,2588.22,0.15,0.4,2.666666667
47,O=C(O[*])C1=CC=C(C(=O)OCC[*])C=C1,337,460,660,1.4,101.3,0.13,110.7,1815.89,0.024,0.13,5.416666667
48,O=C([*])CCCCCN[*],332,528,650,1.1,114.8,0.18,45.8,687.77,0.019,0.04,2.105263158
49,O=C([*])NC1=CC=C(CC2=CC=C(NC(=O)OCCO[*])C=C2)C=C1,383,829,734,1.3,91.6,0.18,105.8,3523.76,0.031,0.14,4.516129032
50,O=C1C2=CC3=C(C=C2C(=O)N1C1=CC=C([*])C=C1)C(=O)N(C1=CC=CC(OC2=CC=C(C4=CC=C(O[*])C=C4)C=C2)=C1)C3=O,561,767,828,1.4,206.8,0.15,114.8,3155.2,0.1,0.56,5.6
51,O=C1C2=CC3=C(C=C2C(=O)N1[*])C(=O)N(C1=CC=C(OC2=CC=C([*])C=C2)C=C1)C3=O,595,813,870,1.5,279.2,0.12,137.2,2906.97,0.067,0.43,6.417910448
52,O=C1C2=CC=C(C(C3=CC=C4C(=O)N(C5=CC=C(OC6=CC=C([*])C=C6)C=C5)C(=O)C4=C3)(C(F)(F)F)C(F)(F)F)C=C2C(=O)N1[*],563,653,799,1.5,152.9,0.17,107.9,1614.23,0.57,3.4,5.964912281
53,O=C1OC([*])NC2=CC=C(CC3=CC=C4NC(C5=CC=C6C(=O)N(C7=CC=C(OC8=CC=C(N9C(=O)C%10=CC=C([*])C=C%10C9=O)C=C8)C=C7)C(=O)C6=C5)OC(=O)C4=C3)C=C12,560,717,766,1.4,175.2,0.13,124.3,3088.57,0.022,0.18,8.181818182
54,[*]C(C)=C(C(C)=C(C(C)=C(C(CCCC)=C(C(C)=C(C(CCCC)=C(C(C)=C(C(CCCC)=C(C(C)=C(C(C)=C([*])[Si](C)(C)C)[Si](C)(C)C)[Si](C)(C)C)[Si](C)(C)C)[Si](C)(C)C)[Si](C)(C)C)[Si](C)(C)C)[Si](C)(C)C)[Si](C)(C)C)[Si](C)(C)C,511,517,623,1,62,0.35,33.7,622.84,277.9,627.4,2.257646635
55,[*]C(C)=C([*])[Si](C)(C)C,520,549,597,1,60.4,0.36,38.5,638.49,3834.5,8094.2,2.110887991
56,[*]C(C)CC(F)(F)C([*])(F)F,273,541,711,1.5,75.3,0.23,35.5,1795.03,0.79,2.8,3.544303797
57,[*]C(F)(F)C(F)(F)C1(F)OC(C(F)(F)F)(C(F)(F)F)OC1(F)C2(F)OC(C(F)(F)F)(C(F)(F)F)OC2(F)C(F)(F)C(F)(F)C3(F)OC(C(F)(F)F)(C(F)(F)F)OC3([*])F,442,441,734,2,106,0.24,72.8,3277.33,4591.2,8327.5,1.813795957
58,[*]C(F)(F)C(F)(F)C1(F)OC(C(F)(F)F)(C(F)(F)F)OC1(F)C2(F)OC(C(F)(F)F)(C(F)(F)F)OC2(F)C3(F)OC(C(F)(F)F)(C(F)(F)F)OC3(F)C4(F)OC(C(F)(F)F)(C(F)(F)F)OC4(F)C5(F)OC(C(F)(F)F)(C(F)(F)F)OC5(F)C6(F)OC(C(F)(F)F)(C(F)(F)F)OC6(F)C7(F)OC(C(F)(F)F)(C(F)(F)F)OC7(F)C8(F)OC(C(F)(F)F)(C(F)(F)F)OC8(F)C9(F)OC(C(F)(F)F)(C(F)(F)F)OC9([*])F,520,217,619,2,109,0.24,73.7,3185.5,30538.4,51188.7,1.67620766
59,[*]C(F)(F)CCC(F)(F)CCC([*])(F)F,223,551,716,1.6,91.4,0.24,43.4,1310.1,0.073,0.27,3.698630137
